14354 22727272 14141 22727272 14328 22727272 14149 22727272 14204 23255813 14157 23255813 14207 22727272 14190 22222222 14274 23255813 14427 22222222 
14082 17857142 14131 17857142 14052 15384615 13974 18181818 14096 17543859 13880 20000000 14259 21739130 13923 18518518 14055 15873015 14118 18518518 
10100 10309278 10113 10101010 10065 10869565 10123 10752688 9938 9708737 9976 10000000 10091 10309278 9954 10638297 10085 10638297 10016 10638297 
95923 23255813 95849 22727272 94455 22727272 101204 22727272 97761 22727272 96320 22727272 97134 23255813 96033 22727272 97761 23255813 96814 22727272 
76599 20833333 73969 18518518 75284 18518518 76952 18867924 75255 18867924 75488 18867924 76852 18518518 77821 19230769 76799 18518518 76225 19230769 
31116 10638297 31113 9259259 31994 10752688 31702 10989010 31801 10989010 31664 9803921 32288 10989010 31357 9259259 31928 10101010 31337 9523809 
260756 23255813 256937 23809523 265745 23255813 253421 22727272 268168 22727272 256278 22727272 252780 23809523 255558 22727272 260145 22727272 254517 22727272 
154750 18867924 158679 18518518 154870 18181818 157084 19230769 153115 18867924 156030 18867924 157927 19607843 155617 19607843 157728 20408163 154535 18867924 
42647 10416666 43436 10416666 42642 10989010 43083 10638297 41614 10989010 43101 9708737 42955 10101010 42329 10309278 42813 10526315 42944 10309278 
14467 23809523 14473 24390243 14529 23809523 14336 23255813 14577 23255813 14626 23809523 14540 24390243 14258 24390243 14581 23809523 14340 23809523 
14658 20833333 14587 20833333 14470 19230769 14753 20408163 14671 20408163 14432 19230769 14391 19230769 14687 20833333 14508 20408163 14538 20833333 
8652 12987012 8575 13513513 8572 12658227 8582 11764705 8583 12820512 8537 11764705 8589 12658227 8556 12345679 8704 12345679 8570 11494252 
25924 23809523 25829 23809523 26185 23809523 26508 23809523 26554 25641025 26147 23809523 26548 23809523 26121 23809523 26506 23809523 26115 23809523 
24726 20833333 24943 18867924 24695 19607843 25020 20833333 25326 21739130 25686 20408163 24888 20000000 24845 20833333 24975 19607843 24953 20408163 
12168 13157894 12120 12195121 12126 12820512 11919 13157894 12183 12820512 12072 13333333 12014 11627906 12222 12987012 11888 12500000 11964 10989010 
38025 23809523 37797 25641025 39226 23809523 37725 25641025 38705 24390243 38286 23809523 37602 25641025 37427 23809523 38004 23255813 37593 25641025 
38414 19607843 38541 20833333 38271 20408163 38959 18867924 38445 20000000 38214 20000000 38750 20000000 38405 19607843 38949 19607843 38587 21739130 
13753 13333333 13499 12195121 13595 12820512 13822 12987012 13532 10869565 13556 13333333 13711 13157894 13453 11494252 13579 11111111 13650 14084507 
14261 24390243 14085 22727272 14301 22727272 14108 23255813 14135 23809523 14139 22222222 14135 22727272 14055 20000000 14143 22222222 14118 22727272 
14014 19230769 13979 18867924 14069 18518518 14253 17857142 14239 18518518 14098 19230769 14076 18181818 14123 18867924 14107 18181818 14132 19230769 
10014 10752688 9916 9708737 10015 10869565 10022 10204081 9972 9803921 10021 10638297 10034 10526315 10079 10989010 10027 10989010 9991 10752688 
95129 22222222 95301 22727272 96135 23255813 95392 23255813 95192 23255813 95657 22727272 96302 22727272 98415 23809523 95693 23255813 96015 22222222 
75855 19230769 78357 18518518 76628 20408163 76173 19230769 75826 19230769 74432 18867924 75820 18181818 76382 19607843 75443 18867924 76563 18867924 
31862 10416666 31670 10752688 31676 10869565 31260 10000000 31348 10416666 31933 10869565 32024 10752688 32109 10752688 31330 9803921 31186 10638297 
256410 22727272 251319 22727272 259201 22727272 256937 22727272 266169 23255813 258665 23255813 257201 25000000 255885 23809523 254971 23809523 262329 23255813 
154750 18518518 156176 18867924 159821 19230769 150534 18518518 154320 18867924 159693 18518518 165892 18867924 153303 18518518 154822 19230769 157109 18518518 
41310 11235955 41189 10309278 41325 10309278 42645 10416666 43440 10869565 42340 10638297 42202 10638297 42642 9259259 43155 11111111 43400 10416666 
14580 23809523 14474 23809523 14567 23809523 14434 24390243 14391 23255813 14500 23255813 14459 23809523 14502 20408163 14516 23255813 14444 23255813 
14409 20000000 14721 17543859 14522 19230769 14386 20000000 14474 20000000 14521 20408163 14531 20000000 14488 18867924 14593 19607843 14554 19607843 
8487 12658227 8471 12345679 8568 12500000 8661 12820512 8505 12987012 8552 11904761 8591 12048192 8587 11904761 8518 13157894 8559 12658227 
26091 24390243 25754 23255813 26062 24390243 25932 23255813 26391 23809523 26326 23809523 26073 23809523 26145 23809523 26013 22727272 25853 23809523 
24274 19607843 25612 20408163 25085 20408163 24953 22222222 24749 21739130 24995 20408163 24800 19230769 25137 21276595 25163 20408163 25119 21739130 
11867 13333333 11937 13157894 11895 8928571 11843 12987012 11965 12820512 12366 12987012 11882 12500000 11985 12820512 11909 12048192 11705 12345679 
37622 23809523 38913 23809523 37762 23809523 38008 23255813 38505 25000000 38053 23809523 38331 23809523 38069 23809523 39044 25000000 39114 23809523 
38017 20000000 38274 18181818 38197 19607843 37761 23255813 38680 20408163 38109 20408163 40051 20408163 38437 20408163 38436 20000000 38393 20408163 
13664 13698630 13736 13157894 13890 12500000 13583 11494252 13610 11904761 13439 11627906 13565 12820512 13491 11363636 13778 13333333 13502 13513513 
14199 23255813 14361 23255813 14034 22727272 14095 24390243 14406 22222222 14343 23255813 14087 20408163 14172 22222222 14302 22727272 14373 22727272 
14202 19230769 13961 18867924 13996 17857142 14192 20833333 13966 18181818 14415 18867924 14046 20833333 14110 20000000 14322 18181818 14178 20408163 
10136 9174311 9861 9708737 10111 10526315 9983 11235955 10217 10526315 9975 8928571 10005 9803921 10002 10416666 10067 10989010 10223 10989010 
97904 22727272 97971 22222222 101533 23255813 95657 22727272 95620 22727272 95483 23255813 97134 20000000 96163 22727272 98000 22727272 96126 22727272 
75340 20000000 77567 20000000 76552 19607843 77041 18518518 76295 20000000 75855 12987012 75182 18867924 76429 19230769 76722 18867924 73179 17857142 
31434 11111111 32215 11235955 30610 10638297 31511 11111111 31266 10204081 31776 11235955 31777 10526315 30714 10638297 31694 11111111 31925 11111111 
252079 22727272 259875 23255813 212675 23809523 252461 23809523 259201 23809523 255297 25000000 259067 23809523 248447 22727272 268024 28571428 255036 22727272 
157604 19230769 161550 15625000 162601 20833333 155520 20833333 154702 18867924 155520 18518518 153633 18867924 163800 16129032 150466 19230769 162337 19230769 
42502 11111111 43565 8928571 41912 10869565 42671 11627906 42504 8695652 42039 10309278 42551 11363636 41175 11235955 43357 11111111 42780 10752688 
14550 23809523 14412 23809523 14387 23809523 14254 23809523 14351 25000000 14683 23809523 14571 26315789 14367 23809523 14476 23809523 14469 23809523 
14532 17543859 14665 20000000 14628 20408163 14394 20833333 14485 21276595 14488 20408163 14391 20000000 14553 18518518 14467 20000000 14529 20408163 
8483 12345679 8394 13888888 8438 12195121 8443 12500000 8493 13157894 8506 11764705 8540 12500000 8310 13513513 8525 12195121 8526 12195121 
26103 23809523 25967 23809523 26184 23809523 26148 23255813 26369 23809523 26193 23809523 26215 23809523 26266 23255813 26248 25641025 25972 25641025 
25077 20000000 24869 20408163 24866 20000000 24588 20408163 25031 19230769 24905 20000000 24804 20000000 25394 20408163 25492 20408163 24649 19607843 
11858 12658227 12061 13333333 11891 12500000 11958 12820512 11999 12987012 11904 12500000 12145 11363636 12139 13333333 12039 13157894 12051 11764705 
39022 23255813 37934 23809523 37967 25641025 39057 23809523 38240 23809523 37592 23809523 37953 25000000 37714 23809523 37790 23809523 39161 26315789 
38108 20408163 38154 20833333 38543 20833333 38951 19607843 38732 20408163 38281 19607843 38489 20833333 37787 20833333 38636 20833333 38364 20000000 
13674 11764705 13709 13333333 13230 11904761 13424 12987012 13525 13157894 13316 13333333 13571 12658227 13540 13157894 13159 13513513 13215 12658227 
